coverage_id,region_id,region_name,level,year,fvc_level,area_km2,level_name
0385,530304,马龙区,3,2013,高,401.553,县级
0386,533103,芒市,3,2013,低,85.5693,县级
0387,533103,芒市,3,2013,中低,129.5964,县级
0388,533103,芒市,3,2013,中,401.9715,县级
0389,533103,芒市,3,2013,中高,1164.627,县级
0390,533103,芒市,3,2013,高,1150.2621,县级
0391,532503,蒙自市,3,2013,低,81.1926,县级
0392,532503,蒙自市,3,2013,中低,194.8185,县级
0393,532503,蒙自市,3,2013,中,391.6638,县级
0394,532503,蒙自市,3,2013,中高,630.2331,县级
0395,532503,蒙自市,3,2013,高,880.5807,县级
0396,532822,勐海县,3,2013,低,77.3496,县级
0397,532822,勐海县,3,2013,中低,244.9413,县级
0398,532822,勐海县,3,2013,中,871.4772,县级
0399,532822,勐海县,3,2013,中高,1908.513,县级
0400,532822,勐海县,3,2013,高,2298.5298,县级
0401,532823,勐腊县,3,2013,低,54.9333,县级
0402,532823,勐腊县,3,2013,中低,72.6012,县级
0403,532823,勐腊县,3,2013,中,241.1883,县级
0404,532823,勐腊县,3,2013,中高,951.7149,县级
0405,532823,勐腊县,3,2013,高,5522.1624,县级
0406,530827,孟连傣族拉祜族佤族自治县,3,2013,低,30.6288,县级
0407,530827,孟连傣族拉祜族佤族自治县,3,2013,中低,113.5458,县级
0408,530827,孟连傣族拉祜族佤族自治县,3,2013,中,336.4398,县级
0409,530827,孟连傣族拉祜族佤族自治县,3,2013,中高,650.2815,县级
0410,530827,孟连傣族拉祜族佤族自治县,3,2013,高,785.2203,县级
0411,532925,弥渡县,3,2013,低,217.0242,县级
0412,532925,弥渡县,3,2013,中低,265.7439,县级
0413,532925,弥渡县,3,2013,中,420.2613,县级
0414,532925,弥渡县,3,2013,中高,427.3722,县级
0415,532925,弥渡县,3,2013,高,210.1536,县级
0416,532504,弥勒市,3,2013,低,218.4201,县级
0417,532504,弥勒市,3,2013,中低,560.0367,县级
0418,532504,弥勒市,3,2013,中,1168.7643,县级
0419,532504,弥勒市,3,2013,中高,1289.6424,县级
0420,532504,弥勒市,3,2013,高,681.8094,县级
0421,530822,墨江哈尼族自治县,3,2013,低,125.2062,县级
0422,530822,墨江哈尼族自治县,3,2013,中低,214.1811,县级
0423,530822,墨江哈尼族自治县,3,2013,中,845.0613,县级
0424,530822,墨江哈尼族自治县,3,2013,中高,2263.5612,县级
0425,530822,墨江哈尼族自治县,3,2013,高,1864.3905,县级
0426,532323,牟定县,3,2013,低,159.525,县级
0427,532323,牟定县,3,2013,中低,294.4224,县级
0428,532323,牟定县,3,2013,中,410.7618,县级
0429,532323,牟定县,3,2013,中高,412.5249,县级
0430,532323,牟定县,3,2013,高,183.7107,县级
0431,532324,南华县,3,2013,低,186.9867,县级
0432,532324,南华县,3,2013,中低,357.3684,县级
0433,532324,南华县,3,2013,中,611.3952,县级
0434,532324,南华县,3,2013,中高,756.6012,县级
0435,532324,南华县,3,2013,高,367.0956,县级
0436,532926,南涧彝族自治县,3,2013,低,196.7904,县级
0437,532926,南涧彝族自治县,3,2013,中低,271.0845,县级
0438,532926,南涧彝族自治县,3,2013,中,436.0113,县级
0439,532926,南涧彝族自治县,3,2013,中高,527.5602,县级
0440,532926,南涧彝族自治县,3,2013,高,321.5934,县级
0441,530821,宁洱哈尼族彝族自治县,3,2013,低,110.4552,县级
0442,530821,宁洱哈尼族彝族自治县,3,2013,中低,133.2081,县级
0443,530821,宁洱哈尼族彝族自治县,3,2013,中,423.4869,县级
0444,530821,宁洱哈尼族彝族自治县,3,2013,中高,1351.278,县级
0445,530821,宁洱哈尼族彝族自治县,3,2013,高,1669.9014,县级
0446,530724,宁蒗彝族自治县,3,2013,低,181.1043,县级
0447,530724,宁蒗彝族自治县,3,2013,中低,562.1931,县级
0448,530724,宁蒗彝族自治县,3,2013,中,1476.4473,县级
0449,530724,宁蒗彝族自治县,3,2013,中高,2545.5429,县级
0450,530724,宁蒗彝族自治县,3,2013,高,1289.1357,县级
0451,530103,盘龙区,3,2013,低,51.7464,县级
0452,530103,盘龙区,3,2013,中低,74.8917,县级
0453,530103,盘龙区,3,2013,中,118.1583,县级
0454,530103,盘龙区,3,2013,中高,260.5653,县级
0455,530103,盘龙区,3,2013,高,360.1953,县级
0456,532523,屏边苗族自治县,3,2013,低,27.5931,县级
0457,532523,屏边苗族自治县,3,2013,中低,67.4163,县级
0458,532523,屏边苗族自治县,3,2013,中,203.0265,县级
0459,532523,屏边苗族自治县,3,2013,中高,449.5374,县级
0460,532523,屏边苗族自治县,3,2013,高,1099.9935,县级
0461,530302,麒麟区,3,2013,低,126.8901,县级
0462,530302,麒麟区,3,2013,中低,197.0505,县级
0463,530302,麒麟区,3,2013,中,324.18,县级
0464,530302,麒麟区,3,2013,中高,517.5468,县级
0465,530302,麒麟区,3,2013,高,382.8879,县级
0466,530622,巧家县,3,2013,低,44.9982,县级
0467,530622,巧家县,3,2013,中低,55.854,县级
0468,530622,巧家县,3,2013,中,304.2666,县级
0469,530622,巧家县,3,2013,中高,1369.6353,县级
0470,530622,巧家县,3,2013,高,1427.0076,县级
0471,532626,丘北县,3,2013,低,295.2711,县级
0472,532626,丘北县,3,2013,中低,419.6835,县级
0473,532626,丘北县,3,2013,中,1067.211,县级
0474,532626,丘北县,3,2013,中高,1823.2542,县级
0475,532626,丘北县,3,2013,高,1453.2372,县级
0476,533102,瑞丽市,3,2013,低,36.9666,县级
0477,533102,瑞丽市,3,2013,中低,65.3706,县级
0478,533102,瑞丽市,3,2013,中,125.0712,县级
0479,533102,瑞丽市,3,2013,中高,325.1682,县级
0480,533102,瑞丽市,3,2013,高,401.2704,县级
0481,530323,师宗县,3,2013,低,286.2189,县级
0482,530323,师宗县,3,2013,中低,278.928,县级
0483,530323,师宗县,3,2013,中,403.7994,县级
0484,530323,师宗县,3,2013,中高,742.9896,县级
