region_code,region_name,year,temp_mean,pre_mean
532626,丘北县,2019,10.407,533.8347
533102,瑞丽市,2019,9.276,498.4987
530323,师宗县,2019,7.291,367.7751
530521,施甸县,2019,10.345,500.4342
530126,石林彝族自治县,2019,9.833,441.8834
532525,石屏县,2019,10.721,463.8151
532322,双柏县,2019,9.952,370.7256
530925,双江拉祜族佤族布朗族傣族自治县,2019,10.577,550.0579
530681,水富市,2019,7.008,366.3233
530802,思茅区,2019,9.718,543.8349
530127,嵩明县,2019,7.851,367.6141
530626,绥江县,2019,7.248,386.0829
530581,腾冲市,2019,9.303,653.3884
530423,通海县,2019,8.749,387.149
530629,威信县,2019,8.19,432.1919
532927,巍山彝族回族自治县,2019,10.997,463.4371
533423,维西傈僳族自治县,2019,4.558,355.3333
532601,文山市,2019,9.861,651.6244
530102,五华区,2019,7.942,369.5475
532329,武定县,2019,8.362,335.2209
532623,西畴县,2019,7.499,501.7789
530829,西盟佤族自治县,2019,11.978,640.164
530112,西山区,2019,7.29,336.3899
533401,香格里拉市,2019,3.272,329.6552
532923,祥云县,2019,8.415,333.5822
530427,新平彝族傣族自治县,2019,8.99,378.3038
530381,宣威市,2019,8.4,482.7046
530129,寻甸回族彝族自治县,2019,8.127,399.3997
530623,盐津县,2019,10.821,539.3619
532622,砚山县,2019,7.642,446.6196
532922,漾濞彝族自治县,2019,7.221,334.5776
532325,姚安县,2019,9.004,349.6542
530125,宜良县,2019,7.215,311.5651
530628,彝良县,2019,5.825,313.3109
530425,易门县,2019,11.118,438.9497
533123,盈江县,2019,9.844,710.6449
530923,永德县,2019,10.577,531.5856
532928,永平县,2019,9.235,414.4602
532327,永仁县,2019,9.962,319.3841
530625,永善县,2019,4.528,248.1654
530722,永胜县,2019,7.948,324.4605
530721,玉龙纳西族自治县,2019,4.439,276.4804
530428,元江哈尼族彝族傣族自治县,2019,11.526,519.7934
532328,元谋县,2019,9.887,262.4734
532528,元阳县,2019,10.243,518.2317
532929,云龙县,2019,6.67,385.1211
530922,云县,2019,8.874,391.7333
530303,沾益区,2019,8.606,447.3791
530602,昭阳区,2019,5.921,353.1514
530924,镇康县,2019,10.153,526.9285
530627,镇雄县,2019,8.519,485.1959
530825,镇沅彝族哈尼族拉祜族自治县,2019,7.561,339.4216
530181,安宁市,2020,7.105,318.0408
532924,宾川县,2020,8.54,315.2751
530927,沧源佤族自治县,2020,12.062,683.0649
530524,昌宁县,2020,8.152,377.7578
530114,呈贡区,2020,8.794,408.7671
530481,澄江市,2020,8.728,401.4927
532301,楚雄市,2020,8.937,353.6638
530624,大关县,2020,7.731,386.0759
532901,大理市,2020,7.577,337.302
532326,大姚县,2020,8.656,323.7752
533422,德钦县,2020,1.948,220.8003
530113,东川区,2020,6.383,305.1874
530426,峨山彝族自治县,2020,8.079,349.9125
532930,洱源县,2020,6.322,334.0715
530921,凤庆县,2020,9.427,445.9259
533323,福贡县,2020,7.176,562.0055
530124,富民县,2020,7.224,314.342
532628,富宁县,2020,10.158,490.6013
530325,富源县,2020,5.403,328.7928
532501,个旧市,2020,7.307,405.3616
530926,耿马傣族佤族自治县,2020,8.881,473.0866
533324,贡山独龙族怒族自治县,2020,4.054,396.1664
530702,古城区,2020,5.834,262.2753
530111,官渡区,2020,6.346,300.3602
532627,广南县,2020,11.502,589.82
532532,河口瑶族自治县,2020,5.74,332.4195
532932,鹤庆县,2020,9.438,379.134
532529,红河县,2020,12.12,666.7794
530402,红塔区,2020,8.828,404.2808
530424,华宁县,2020,9.753,449.6366
530723,华坪县,2020,10.505,355.2416
530326,会泽县,2020,6.771,359.7636
532524,建水县,2020,10.25,492.5235
532931,剑川县,2020,7.994,447.8698
